arch_id,learnability,simplicity,occam_score,california_housing-fit_delay,california_housing-test_delay,california_housing-test_score,cifar10-fit_delay,cifar10-test_delay,cifar10-test_score,mnist-fit_delay,mnist-test_delay,mnist-test_score
0,0.13162527946934327,-0.7892624145257444,-0.14464102872918305,113.07126998901367,0.028000593185424805,3.301161756355464,1367.5002291202545,2.070000410079956,12.863307984698736,912.4200367927551,0.34000086784362793,25.51631284133733
1,0.920501035275207,0.2665192260234391,0.7243064924996766,42.63713073730469,0.04599928855895996,2.613513431104804,168.26291632652283,4.452573299407959,11.110871205593206,1071.7034771442413,0.8020002841949463,19.982085665615106
2,-0.1692049123269284,-0.33528343331504057,-0.21902846862336203,43.84211206436157,0.00800013542175293,1.9294468510517153,617.6846287250519,0.15400099754333496,12.272145971409172,639.7667429447174,0.05952739715576172,17.638091929324965
3,0.158031329972811,-0.615376250268794,-0.07399094409967048,1685.1632318496704,0.04700040817260742,2.427840519203593,2873.468803167343,2.654568910598755,12.78943336129547,2810.619483947754,0.6140007972717285,46.368719179167016
4,0.12710807857984516,-0.6376891751610487,-0.102331097542423,1088.862729549408,0.06000018119812012,0.023104731826889054,1290.1938257217407,1.6360008716583252,12.39631796312182,1478.6508040428162,0.404998779296875,42.592288330741205
5,0.10400500179552695,-0.020436470794193525,0.06667256001861081,55.79404807090759,0.021000146865844727,0.6874307900729769,1905.1804683208466,2.254537582397461,11.300661905116634,1417.8489694595337,0.41100168228149414,23.388939206255348
6,-1.674156039163871,0.8036818408587888,-0.930804675157073,58.48260521888733,0.03600025177001953,0.0,1573.2440648078918,1.2130019664764404,13.086551183067842,1258.9841907024384,0.37900304794311523,54.4774922306411
7,1.4188414037024126,-0.5645277207902952,0.8238306663546002,216.77483916282654,0.2669999599456787,4.0333080384329385,2077.7693684101105,2.5510003566741943,13.4444868004095,2246.512509584427,0.9070007801055908,92.75836117530584
8,-1.0695702445223927,-3.0953531197685664,-1.6773051070962448,0.9469997882843018,0.029000043869018555,0.0,1302.0100920200348,9.063558340072632,11.87086732016144,0.06999897956848145,1.4434349536895752,0.0
9,-1.4003235884617802,1.54084807153205,-0.5179720904636311,66.33715748786926,0.029000520706176758,0.13652562691525486,1416.6346826553345,0.7870008945465088,12.030077665639622,1290.846086025238,0.2239997386932373,14.124480772029687
10,0.5286518806651488,0.09397763333781511,0.3982496064669486,20.66501522064209,0.01300048828125,2.6205886494587434,61.63164472579956,1.2750012874603271,11.111104835907042,515.9293711185455,0.24900150299072266,20.188134147041236
11,1.245645569733365,-0.1456309807022749,0.828262604602673,45.261552810668945,0.039000511169433594,2.4281239033009814,931.368320941925,0.5280020236968994,12.548679192757797,1029.7993931770325,0.23900055885314941,26.774113137513158
12,-0.36969061966711464,1.717679559319955,0.25652043402900626,21.344040870666504,0.27700042724609375,0.0,259.0217168331146,2.4259958267211914,11.110902478372745,1975.7362372875214,0.6230003833770752,73.79875967506224

# Correlations vs avg_z_test_score
arena_metric,spearman
learnability,0.4066
simplicity,-0.2418
occam_score,0.2363
